meal_id,meal_name,meal_type,diet_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,serving_size_g
M001,Greek Yogurt with Berries and Honey,breakfast,Vegetarian,439,18,40,11,6,6,496,209,206
M002,Avocado Toast with Poached Egg,breakfast,Vegetarian,358,11,26,9,7,10,408,174,351
M003,Oatmeal with Chia Seeds and Almonds,breakfast,Vegan,300,30,59,14,7,17,451,0,343
M004,Spinach and Feta Omelet,breakfast,Vegan,456,15,52,13,8,7,260,0,394
M005,Chia Pudding with Mango,breakfast,Gluten-Free,273,22,31,13,9,11,563,31,226
M006,Protein Green Smoothie Bowl,breakfast,Balanced,281,22,30,16,8,14,445,69,337
M007,Almond Butter Banana Toast,breakfast,Vegetarian,419,17,43,9,7,6,344,91,211
M008,Quinoa Breakfast Porridge with Pecans,breakfast,Balanced,463,21,35,13,9,9,493,88,362
M009,Scrambled Tofu with Turmeric and Spinach,breakfast,Vegetarian,412,15,59,19,7,8,386,117,355
M010,Whole Wheat Waffles with Mixed Berries,breakfast,Mediterranean,426,27,39,18,9,4,267,230,363
M011,Cottage Cheese with Pineapple and Walnuts,breakfast,Vegan,352,18,29,11,9,9,485,0,280
M012,Mushroom and Bell Pepper Frittata,breakfast,Low-Carb,367,14,41,10,7,20,425,87,364
M013,Acai Bowl with Granola and Coconut,breakfast,Low-Carb,352,21,39,10,12,18,196,213,349
M014,Smoked Salmon Whole Wheat Bagel with Cream Cheese,breakfast,Vegan,289,30,35,20,10,5,347,0,228
M015,Buckwheat Pancakes with Blueberry Compote,breakfast,Balanced,314,27,25,18,5,20,534,88,335
M016,Pebranola Bowl with Soy Milk,breakfast,Gluten-Free,325,23,35,15,4,11,406,215,228
M017,Zucchini and Herb Egg Muffins,breakfast,Keto,483,13,13,31,12,9,228,115,329
M018,Baked Oatmeal with Apple and Cinnamon,breakfast,Keto,494,26,7,25,9,18,159,48,338
M019,Black Bean and Avocado Breakfast Burrito,breakfast,Gluten-Free,311,11,40,22,5,5,524,144,278
M020,Chia and Flax Seed Porridge,breakfast,Vegetarian,386,14,33,18,11,20,234,87,394
M021,"Smoothie with Spinach, Protein Powder, and Flax",breakfast,Low-Carb,487,27,37,19,8,15,493,186,254
M022,Poached Eggs on Sautéed Kale,breakfast,Gluten-Free,480,26,53,9,7,10,182,106,312
M023,Lemon Poppy Seed Protein Pancakes,breakfast,Vegan,391,17,39,8,5,4,267,0,350
M024,Sweet Potato and Black Bean Breakfast Hash,breakfast,Vegan,268,26,40,12,11,9,426,0,284
M025,Matcha Chia Pudding with Raspberries,breakfast,Balanced,450,25,51,11,5,6,487,130,262
M026,Ricotta and Fig Whole Wheat Toast,breakfast,Gluten-Free,355,24,28,18,5,4,356,206,308
M027,Keto Bacon and Egg Casserole,breakfast,Gluten-Free,313,16,37,16,11,7,366,66,227
M028,Flaxseed Meal Muffins with Blueberries,breakfast,Mediterranean,313,12,53,20,12,6,175,186,318
M029,Protein Pancakes with Peanut Butter Drizzle,breakfast,Vegan,487,17,35,14,11,18,259,0,223
M030,Coconut Milk Chia Seed Pudding,breakfast,Low-Carb,292,22,25,14,8,17,296,128,215
M031,Sun-Dried Tomato and Goat Cheese Quiche,breakfast,Balanced,298,19,38,8,12,4,532,100,239
M032,Raspberry Almond Milk Smoothie Bowl,breakfast,Vegan,399,25,57,22,12,8,179,0,212
M033,Hard-Boiled Eggs with Sliced Avocado and Tomato,breakfast,Vegetarian,267,29,29,18,7,15,211,247,247
M034,Sourdough Toast with Almond Butter and Hemp Seeds,breakfast,Paleo,402,11,30,14,12,13,283,72,348
M035,Millet Porridge with Stewed Peaches,breakfast,Gluten-Free,317,22,33,18,8,17,311,212,261
M036,Spiced Pumpkin Protein Oatmeal,breakfast,Vegetarian,367,29,31,9,12,9,409,87,202
M037,Tofu Scramble with Mushrooms and Tomatoes,breakfast,Keto,475,12,12,19,8,8,374,233,289
